CUST #,DESCRIPTION,ADDR1,CITY,ST,ZIP CODE,ROUTE,Milk-CD Half Pints,Milk-5Gal,Milk Gals-Country Dairy,Milk Gals-Cedar Cr,Milk Hgls-Country Dairy,Milk Pints-Country Dairy,Milk Qts-Country Dairy,Mix-Country Dairy,WF Gallons,WF Hgls,TOTAL CASES
200668,Dewitt Party Store,129 S Bridge Street,DeWitt,MI,48820-1818,243,0,0,3,0,2,2,0,0,0,0,7
40086,"Diesel Man, Inc",4647 W Columbia Ave,Battle Creek,MI,49015,110,0,0,3,0,1,1,0,0,0,0,5
41109,DJ's Bakery,3031 Packard St,Ann Arbor,MI,48108-4308,557,0,0,0,0,0,9,0,0,0,0,9
42209,Doordash Grr-1 Wyoming,3685 Hagan Dr SE,Wyoming,MI,49548-2206,107,0,0,17,0,16,0,0,0,0,0,33
42211,Doordash Kzo-1 Kalamazoo,1157 Bank St,Kalamazoo,MI,49901-2206,101,0,0,1,0,9,0,0,0,0,0,10
42240,Dore Oil-Nester Creek #17,4971 E M55,Prescott,MI,48756-6610,484,0,0,4,0,2,4,4,0,0,0,14
42233,Dore's Stores - Alger,2003 M-33,Alger,MI,48610-1428,484,0,0,0,0,1,1,3,0,0,0,5
42230,Dore's Stores - Bay City,6183 West Side Saginaw Rd,Bay City,MI,48706-1428,482,,0,0,0,0,1,0,0,0,0,1
42232,Dore's Stores - Bay City,510 N Tuscola,Bay City,MI,48708-1428,482,0,0,0,0,0,1,0,0,0,0,1
42228,Dore's Stores - Kawkawlin,825 E Beaver Road,Kawkawlin,MI,48631-1428,484,0,0,1,0,1,1,1,0,0,0,4
42229,Dore's Stores - Linwood,874 E Linwood Road,Linwood,MI,48634-1428,484,0,0,0,0,1,2,1,0,0,0,4
42236,Dore's Stores - Omer,19 E US-23,Omer,MI,48749-1428,484,0,0,1,0,1,1,1,0,0,0,4
42231,Dore's Stores - Standish,5353 M-61,Standish,MI,48658-1428,484,0,0,1,0,0,4,2,0,0,0,7
42239,Dore's Stores - Tawas Cit,1250 US-23,Tawas City,MI,48763-1428,484,0,0,0,0,1,0,1,0,0,0,2
42237,Dore's Stores - Whittemor,3013 S M-65,Whittemore,MI,48770-1428,484,0,0,3,0,0,2,1,0,0,0,6
121948,Doris Klaussen Dev Center,408 Jameson St,Battle Creek,MI,49015-6522,110,19,0,0,0,0,0,0,0,0,0,19
42440,Dumont Lake Party Store,2498 30th St,Allegan,MI,49010-2902,103,0,0,3,0,1,1,2,0,0,0,7
42431,Dunes View Kwik Shop,6397 Blue Star Hwy,Saugatuck,MI,49453-2704,119,0,0,3,0,2,3,3,0,0,0,11
42686,Dussel's Farm Market,21765 M-60,Cassopolis,MI,49031-2902,107,0,0,5,0,1,1,0,0,0,0,7
51086,East Jackson Elementary,4340 Walz Rd,Jackson,MI,49201,245,60,0,0,0,0,0,0,0,0,0,60
51087,East Jackson High School,1566 N Sutton Rd,Jackson,MI,49202,245,22,0,0,0,0,0,0,0,0,0,22
50061,Eau Claire High School,7450 Hochberger,Eau Claire,MI,49111-0009,107,12,0,0,0,0,8,0,0,0,0,20
50062,Eau Claire Lybrook Elem,6238 West Main,Eau Claire,MI,49111-0009,107,22,0,0,0,0,0,0,0,0,0,22
